workload,run_id,throughput_ops_s,avg_latency_ms,p95_latency_ms,p99_latency_ms,elapsed_ms,error_count,notes
TPC-C / BenchmarkSQL,benchmarksql_tpcc_20260702_171628,1.826,312.3,716.0,726.0,N/A,0,真实 BenchmarkSQL TPC-C；tpmC=46.95; tpmTOTAL=109.56; txn_count=20
TPC-H / 22 queries,tpch_22_real_20260702_172556,6.5269,153.213,192.592,285.852,3370.68,0,真实执行 22 条 TPC-H 风格查询；小规模确定性数据集，非官方 dbgen scale factor
